"Transfer","dila_ord","dilp_ord","Species","Rel_abund","repb"
"0","-4","-3","P",0.000998901208670463,1
"0","-","-3","P",0.000999000999000999,1
"0","0","-4","P",4.99975001249937e-05,1
"0","-1","-4","P",9.09008271975275e-05,1
"0","-2","-4","P",9.9000099000099e-05,1
"0","-3","-4","P",9.98901208670463e-05,1
"0","-4","-4","P",9.99800039992002e-05,1
"0","-","-4","P",9.99900009999e-05,1
"0","0","-","P",0,1
"0","-1","-","P",0,1
"0","-2","-","P",0,1
"0","-3","-","P",0,1
"0","-4","-","P",0,1
"0","-","-","P",0,1
"0","0","0","K",0.333333333333333,2
"0","-1","0","K",0.476190476190476,2
"0","-2","0","K",0.497512437810945,2
"0","-3","0","K",0.499750124937531,2
"0","-4","0","K",0.499975001249937,2
"0","-","0","K",0.5,2
"0","0","-1","K",0.476190476190476,2
"0","-1","-1","K",0.833333333333333,2
"0","-2","-1","K",0.900900900900901,2
"0","-3","-1","K",0.908265213442325,2
"0","-4","-1","K",0.909008271975275,2
"0","-","-1","K",0.909090909090909,2
"0","0","-2","K",0.497512437810945,2
"0","-1","-2","K",0.900900900900901,2
"0","-2","-2","K",0.980392156862745,2
"0","-3","-2","K",0.989119683481701,2
"0","-4","-2","K",0.99000099000099,2
"0","-","-2","K",0.99009900990099,2
"0","0","-3","K",0.499750124937531,2
"0","-1","-3","K",0.908265213442325,2
"0","-2","-3","K",0.989119683481701,2
"0","-3","-3","K",0.998003992015968,2
"0","-4","-3","K",0.998901208670463,2
"0","-","-3","K",0.999000999000999,2
"0","0","-4","K",0.499975001249937,2
"0","-1","-4","K",0.909008271975275,2
"0","-2","-4","K",0.99000099000099,2
"0","-3","-4","K",0.998901208670463,2
"0","-4","-4","K",0.999800039992002,2
"0","-","-4","K",0.999900009999,2
"0","0","-","K",0.5,2
"0","-1","-","K",0.909090909090909,2
"0","-2","-","K",0.99009900990099,2
"0","-3","-","K",0.999000999000999,2
"0","-4","-","K",0.999900009999,2
"0","-","-","K",1,2
"0","0","0","A",0.333333333333333,2
"0","-1","0","A",0.0476190476190476,2
"0","-2","0","A",0.00497512437810945,2
"0","-3","0","A",0.000499750124937531,2
"0","-4","0","A",4.99975001249937e-05,2
"0","-","0","A",0,2
"0","0","-1","A",0.476190476190476,2
"0","-1","-1","A",0.0833333333333333,2
"0","-2","-1","A",0.00900900900900901,2
"0","-3","-1","A",0.000908265213442325,2
"0","-4","-1","A",9.09008271975275e-05,2
"0","-","-1","A",0,2
"0","0","-2","A",0.497512437810945,2
"0","-1","-2","A",0.0900900900900901,2
"0","-2","-2","A",0.00980392156862745,2
"0","-3","-2","A",0.000989119683481701,2
"0","-4","-2","A",9.9000099000099e-05,2
"0","-","-2","A",0,2
"0","0","-3","A",0.499750124937531,2
"0","-1","-3","A",0.0908265213442325,2
"0","-2","-3","A",0.00989119683481701,2
"0","-3","-3","A",0.000998003992015968,2
"0","-4","-3","A",9.98901208670463e-05,2
"0","-","-3","A",0,2
"0","0","-4","A",0.499975001249937,2
